Protein_Class,accuracy,sensitivity,specificity,auc
6,0.9986142605190225,0.19230769230769232,0.9999369085173502,0.8118575588449406
15,0.9979843789367598,0.23809523809523808,1.0,0.8209413738970389
53,0.9965986394557823,0.24285714285714285,0.9999367328862457,0.8167296325084507
12,0.9934492315444696,0.35064935064935066,0.9997455794428189,0.8520096332874605
1,0.9880322499370119,0.1,0.998788728802754,0.7766384036720643
3,0.99848828420257,0.2,1.0,0.80562707728554
65,0.9988662131519275,0.25,1.0,0.8385718941879048
41,0.9986772486772487,0.25,1.0,0.8449669178625512
19,0.955530360292265,0.40347826086956523,0.9986418579383404,0.8424523321661184
47,0.9794658604182414,0.12658227848101267,0.9967866323907455,0.7972404697211286
46,0.9978584026203073,0.34,0.999936812839631,0.8474276507013774
70,0.9983623078861175,0.2777777777777778,1.0,0.825034196127946
17,0.9954018644494835,0.35454545454545455,0.9998731447418495,0.8434265911685676
56,0.985827664399093,0.35294117647058826,0.999678166838311,0.8279828254679833
9,0.9989292013101537,0.2727272727272727,0.9999369244354737,0.8398912806633255
83,0.9931342907533384,0.42473118279569894,0.9998725302740599,0.85089982661376
11,0.994771982867221,0.18,0.9999366125760649,0.8330143889452334
14,0.9956538170823885,0.12121212121212122,0.9993042378241619,0.7860032967243593
28,0.9922524565381708,0.27380952380952384,0.9999363381716323,0.8231186413959524
64,0.9981103552532123,0.21052631578947367,1.0,0.8313524767215426
16,0.99848828420257,0.07692307692307693,1.0,0.7576874545013346
8,0.9882212144116906,0.2734375,0.9999359795134443,0.8177739376600512
77,0.9959687578735198,0.16176470588235295,0.9995571862348178,0.7960517012979281
66,0.9971655328798186,0.18518518518518517,0.9999367968651245,0.826218884160358
62,0.9988662131519275,0.5,1.0,0.8623000841750842
84,0.9986772486772487,0.09090909090909091,0.9999369244354737,0.8161720013303211
27,0.9940791131267321,0.3409090909090909,0.9995553861788617,0.8455626193335797
13,0.9993071302595112,0.3888888888888889,1.0,0.8800990737237426
21,0.996031746031746,0.42452830188679247,0.9998731769181991,0.8478520836075184
40,0.9981103552532123,0.25,1.0,0.8113270396564789
61,0.9421768707482994,0.2396039603960396,0.9899098614287636,0.8118712644841775
76,0.9309019904257999,0.4669811320754717,0.9942726231386025,0.8661748717043569
32,0.9971025447215923,0.0625,0.9999368208238565,0.7570082817370062
30,0.9931972789115646,0.19696969696969696,0.9998729674796748,0.7958197639504804
82,0.9935122197026959,0.20833333333333334,0.9994922569179995,0.8220122493018531
2,0.9980473670949861,0.2222222222222222,0.999810606060606,0.8195356341189675
29,0.9885361552028219,0.12087912087912088,0.9985981903912323,0.7939856276003848
42,0.9971655328798186,0.296875,1.0,0.8413635609031115
79,0.9968505920886873,0.3783783783783784,0.9997468674851284,0.8574346558937118
49,0.9921264802217183,0.08333333333333333,0.9990479817212491,0.7605713696369637
36,0.995275888133031,0.25,1.0,0.78011726673428
60,0.9962207105064248,0.2625,0.9999366928336287,0.8183495821727019
50,0.9938901486520534,0.0851063829787234,0.9993030034216196,0.7380465760885686
39,0.9986142605190225,0.125,0.9999369164774161,0.775999610984944
26,0.9977324263038548,0.05555555555555555,0.9998737373737374,0.758743686868687
58,0.9965356512975561,0.34146341463414637,0.9999366848170191,0.8492396000951272
5,0.9985512723607962,0.23333333333333334,1.0,0.7440594892507048
73,0.9984252960443437,0.08333333333333333,0.9998107494322483,0.7267156089662714
31,0.9993071302595112,0.5769230769230769,1.0,0.8888837660761951
59,0.9933862433862434,0.22580645161290322,0.9994286439817166,0.8059429729353365
33,0.9887251196775007,0.37857142857142856,0.9996794049756348,0.8556704099952369
38,0.9880322499370119,0.3246268656716418,0.9994233726294208,0.8428649773939121
51,0.9896699420508944,0.3305084745762712,0.9996163682864451,0.833543391564437
37,0.9942050894431846,0.14150943396226415,0.9999365884590996,0.7553908783096636
68,0.9837490551776266,0.2774566473988439,0.9994848679974243,0.8132318950083559
18,0.9884101788863694,0.40066225165562913,0.9998073712597919,0.8670935044568252
35,0.996283698664651,0.19117647058823528,0.999746963562753,0.839298605322696
67,0.9962207105064248,0.1323529411764706,0.9999367408906883,0.7924143025125029
